cfg,phase,xi,scale,sigma,resp_rms,err
1,node,0.0,1.0,2e-06,2.239000538019637e-08,7.641754323695363e-06
1,node,0.0,4.0,8e-06,8.956002152078547e-08,3.056189649749298e-05
1,node,1.0,1.0,2e-06,4.28602043031854e-08,2.0506037416400658e-06
1,node,1.0,4.0,8e-06,1.714408172127416e-07,8.206270435907225e-06
1,node,2.0,1.0,2e-06,5.0767270278567604e-08,1.5915242667856617e-06
1,node,2.0,4.0,8e-06,2.0306908111427042e-07,6.367969778349252e-06
1,node,5.0,1.0,2e-06,8.530506379510681e-08,9.633870996027883e-07
1,node,5.0,4.0,8e-06,3.4122025518042724e-07,3.85660385638257e-06
1,node,10.0,1.0,2e-06,9.128028046211557e-08,6.890183637738569e-07
1,node,10.0,4.0,8e-06,3.651211218484623e-07,2.756070920529714e-06
1,node,20.0,1.0,2e-06,1.2381287456109648e-07,6.620652567808014e-07
1,node,20.0,4.0,8e-06,4.952514982443859e-07,2.644437977910087e-06
1,node,50.0,1.0,2e-06,1.2680095510156388e-07,2.45625668621555e-07
1,node,50.0,4.0,8e-06,5.072038204062555e-07,9.867801015109819e-07
1,node,,1.0,2e-06,1.6801432274682227e-07,2.1841067420797654e-07
1,node,,4.0,8e-06,6.720572909872891e-07,8.573415139406507e-07
29,node,0.0,1.0,2e-06,4.804091183599289e-09,3.3492879574730824e-06
29,node,0.0,4.0,8e-06,1.9216364734397155e-08,1.3416316136589717e-05
29,node,1.0,1.0,2e-06,4.824001489955988e-09,2.5115423465697187e-06
29,node,1.0,4.0,8e-06,1.929600595982395e-08,1.0038833333404914e-05
29,node,2.0,1.0,2e-06,4.999380966844365e-09,3.8492804899559914e-06
29,node,2.0,4.0,8e-06,1.999752386737746e-08,1.54169235595018e-05
29,node,5.0,1.0,2e-06,8.289402300191937e-09,1.7319244163197091e-06
29,node,5.0,4.0,8e-06,3.315760920076775e-08,6.959819840968776e-06
29,node,10.0,1.0,2e-06,1.2983679472922502e-08,1.466796863757046e-06
29,node,10.0,4.0,8e-06,5.193471789169001e-08,5.8558979842677315e-06
29,node,20.0,1.0,2e-06,1.836048150513848e-08,5.237028119211042e-07
29,node,20.0,4.0,8e-06,7.344192602055392e-08,2.09398609934294e-06
29,node,50.0,1.0,2e-06,1.3885119592203867e-08,4.2281521517138005e-07
29,node,50.0,4.0,8e-06,5.554047836881547e-08,1.6540550888527465e-06
