cfg,phase,xi,scale,sigma,resp_rms,err
1,node,0.0,1.0,2e-06,5.32380907226873e-08,3.5659599345559314e-06
1,node,0.0,4.0,8e-06,2.129523628907492e-07,1.4263983931703748e-05
1,node,1.0,1.0,2e-06,7.322339328141634e-08,3.310000107573961e-06
1,node,1.0,4.0,8e-06,2.9289357312566535e-07,1.3240913243859811e-05
1,node,2.0,1.0,2e-06,1.071019158001346e-07,2.5554108862756516e-06
1,node,2.0,4.0,8e-06,4.284076632005384e-07,1.0208771985507164e-05
1,node,5.0,1.0,2e-06,1.7303525587537323e-07,1.035177836794555e-06
1,node,5.0,4.0,8e-06,6.921410235014929e-07,4.130933862699011e-06
1,node,10.0,1.0,2e-06,2.343583744985692e-07,5.221109040966065e-07
1,node,10.0,4.0,8e-06,9.374334979942768e-07,2.084902867832659e-06
1,node,20.0,1.0,2e-06,2.1745871495499189e-07,4.6057331894008864e-07
1,node,20.0,4.0,8e-06,8.698348598199675e-07,1.8361573744409584e-06
1,node,50.0,1.0,2e-06,3.4090751530372493e-07,3.518390798889362e-07
1,node,50.0,4.0,8e-06,1.3636300612148997e-06,1.4009222537399982e-06
1,node,,1.0,2e-06,3.682052903493323e-07,1.7616730900868047e-07
1,node,,4.0,8e-06,1.4728211613973293e-06,7.104014326097659e-07
29,node,0.0,1.0,2e-06,1.480863974846984e-07,4.901558959774872e-06
29,node,0.0,4.0,8e-06,5.923455899387936e-07,1.9607261814856152e-05
29,node,1.0,1.0,2e-06,1.4993961117410997e-07,5.929874732017738e-06
29,node,1.0,4.0,8e-06,5.997584446964399e-07,2.372303996307738e-05
29,node,2.0,1.0,2e-06,2.1358644803736906e-07,2.034490992062515e-06
29,node,2.0,4.0,8e-06,8.543457921494762e-07,8.139597555148725e-06
29,node,5.0,1.0,2e-06,3.911935133393626e-07,3.5974610054719072e-06
29,node,5.0,4.0,8e-06,1.5647740533574505e-06,1.4392528936618562e-05
29,node,10.0,1.0,2e-06,4.787463393014739e-07,2.16331875729079e-06
29,node,10.0,4.0,8e-06,1.9149853572058955e-06,8.656557086219418e-06
29,node,20.0,1.0,2e-06,6.394016130900689e-07,8.628764771348969e-07
29,node,20.0,4.0,8e-06,2.5576064523602757e-06,3.4513905833662036e-06
29,node,50.0,1.0,2e-06,7.692976716627045e-07,5.643666810682127e-07
29,node,50.0,4.0,8e-06,3.077190686650818e-06,2.2695297850662286e-06
29,node,,1.0,2e-06,9.745148143133604e-07,7.894599912301836e-07
29,node,,4.0,8e-06,3.8980592572534415e-06,3.1402263431406168e-06
57,node,0.0,1.0,2e-06,8.849299468702573e-09,3.0604884532185164e-06
57,node,0.0,4.0,8e-06,3.539719787481029e-08,1.2362886932102355e-05
57,node,1.0,1.0,2e-06,1.4259296902943943e-08,3.6715555092774914e-06
57,node,1.0,4.0,8e-06,5.703718761177577e-08,1.4685781055521137e-05
57,node,2.0,1.0,2e-06,1.707620588702258e-08,1.6349696356249046e-06
57,node,2.0,4.0,8e-06,6.830482354809032e-08,6.639328489752377e-06
57,node,5.0,1.0,2e-06,2.3404428580670407e-08,1.2219773929047287e-06
