cfg,phase,model,L,mu,alpha,Ez,Delta,t0,E_low,E_gap,z2,subgap,near_edge,domain,width,center_left,center_right,E_pred,E_abserr,E_relerr,q_resolved,secular,K_relerr,K_corr,N0_ratio,N_err,q_root,q_energy,q_fft,q_diff_fft,q0_diff_fft,sumK,fd,fd_kink,fd_err,Kmaj_dev,p0,N0,eps2,Nex_xi0.0,Nex_xi1.0,Nex_xi2.0,Nex_xi5.0,Nex_xi10.0,Nex_xi20.0,Nex_xi50.0,Nex_xiinf,Nro_xi0.0,Nro_xi1.0,Nro_xi2.0,Nro_xi5.0,Nro_xi10.0,Nro_xi20.0,Nro_xi50.0,Nro_xiinf
1,node,rashba,74,1.1543500537078126,0.2185113447884537,2.6847963276975464,1.2909557369540143,1.3053473645769023,3.0957135820682844e-07,0.09820128267275939,-1,True,False,True,10.676605507053715,9.896826006066162,63.10317399393381,3.09571389892445e-07,3.1685616584986755e-14,1.0235319174397653e-07,True,8.256077236966862e-14,1.075076576481064e-12,1.0,1.0000000000001623,1.288179292850698e-13,2.429352226250254,2.4293522262502503,2.4293551236143474,2.897364097087518e-06,2.8973640935348044e-06,-0.1972084708100697,0.19720884703835465,True,3.762282849428811e-07,1.6543391547110441e-15,0.6776925246519669,0.0007755087747488059,,0.0007755087747488059,0.0012439206788771606,0.002138049543483302,0.004891255975726684,0.009016951852930694,0.015356791265453328,0.025006480650468833,0.03889118095924611,0.0007755087747489317,0.001243920678877319,0.0021380495434835407,0.004891255975727185,0.009016951852931603,0.01535679126545493,0.02500648065047168,0.03889118095925112
1,anti,rashba,74,1.2053582659342785,0.2185113447884537,2.6847963276975464,1.2909557369540143,1.3053473645769023,0.00643475122717029,0.09742200392870902,-1,True,False,True,10.07128669015408,9.57874815193985,63.421251848060216,0.006434751378736149,1.5156585882192264e-10,2.3554268606678425e-08,True,3.964092797286227e-10,1.1517179497812775e-08,1.0,0.9999999892071959,1.0792804131527349e-08,2.3876017283746496,2.387600327427255,2.387428174095508,0.00017215333174691594,0.00017355427914145238,1.3386824694024656e-05,1.3386732564471536e-05,False,9.212955312007485e-11,1.185414077737497e-15,1.6071131718421133e-08,0.00015068741127947759,-6.176511820940329,0.00015068741127947759,7.801418708059077e-05,4.2368185030487465e-05,1.7430648433350743e-05,8.799282412271908e-06,4.440398191102352e-06,1.7909826365265856e-06,1.792070753885476e-10,0.00015068740965313787,7.801418624244188e-05,4.236818457837732e-05,1.743064825276173e-05,8.799282325472664e-06,4.440398148896859e-06,1.7909826183299733e-06,1.7920585234102873e-10
2,node,rashba,63,0.5629215724147735,0.26585967975754765,2.3741261161803187,0.9342183033866048,0.8440627245550573,1.1620816209891691e-07,0.08061377797282192,-1,True,False,True,7.44941683600074,6.591633672564226,55.40836632743576,1.1620816465167908e-07,2.5527621678092375e-15,2.1967150342127558e-08,True,7.61039179541522e-15,2.9986741853694817e-13,0.9999999999999997,1.0000000000001765,1.8368279248429606e-13,1.7667961047627418,1.7667961047627356,1.7667938343115384,2.2704511972726493e-06,2.2704512034898983e-06,-0.11312290229229649,0.11312350748722265,True,6.051949261592915e-07,9.842155991635659e-16,0.6796038574099519,0.0002988853945096615,,0.0002988853945096615,0.0004960740630260346,0.0008339759147506187,0.0018700801555964286,0.003390311539810542,0.005609496827663598,0.008721792150653279,0.012796791023032458,0.00029888539450971427,0.0004960740630261203,0.0008339759147507564,0.0018700801555967229,0.0033903115398110713,0.0056094968276645,0.008721792150654769,0.012796791023034809
2,anti,rashba,63,0.5947468199806654,0.26585967975754765,2.3741261161803187,0.9342183033866048,0.8440627245550573,0.0022923854414736576,0.07896428951410925,-1,True,False,True,7.271816367541287,6.523947858280792,55.476052141719244,0.0022923855233996505,8.192599289941205e-11,3.57383149522822e-08,True,1.9639290815090892e-10,1.5182749875380642e-08,0.9999999999999998,0.9999999876201173,1.2379882688933271e-08,1.7181150204836788,1.718112228406163,1.7176526979964053,0.000459530409757658,0.0004623224872735143,5.105519955734758e-06,5.1052337270846015e-06,False,2.862286501564837e-10,2.4915983208325788e-15,6.38730316179818e-09,6.477715604609076e-05,-5.621544078719069,6.477715604609076e-05,4.5211259918400894e-05,2.6705276676143865e-05,1.1441762161944826e-05,5.911247547278018e-06,3.049345133545733e-06,1.249632615522203e-06,2.6066334018406032e-11,6.477715524415716e-05,4.5211259371827995e-05,2.670527636840271e-05,1.1441762055279932e-05,5.9112475097169e-06,3.0493451192817664e-06,1.2496326062843381e-06,2.6065254599176953e-11
3,node,rashba,82,0.4882698094098251,0.2795958669893257,2.513357629294701,1.084745494050659,0.8280353580351006,5.804318361875713e-09,0.08902464208962284,-1,True,False,True,6.253984278789449,5.3929645060133975,75.60703549398663,5.804319523626364e-09,1.16175065104301e-15,2.0015281357991895e-07,True,1.0318365667542009e-15,7.46779220625732e-13,1.0,1.0000000000005471,5.645252259207612e-13,1.6651262916614504,1.6651262916614513,1.6651259305865727,3.610748784410589e-07,3.610748775528805e-07,-0.016719356757909698,0.016719451746294446,True,9.498838474814031e-08,9.719490332982212e-15,0.6771113826560194,5.034602216993415e-06,,5.034602216993415e-06,8.441064722260238e-06,1.4188528734793663e-05,3.2117241479472734e-05,5.950294186984145e-05,0.00010291554405300276,0.00017255779861601988,0.0002795368903982607,5.03460221699617e-06,8.441064722264763e-06,1.4188528734800775e-05,3.21172414794873e-05,5.950294186986743e-05,0.00010291554405304887,0.00017255779861610494,0.0002795368903984185
3,anti,rashba,82,0.5114208405311187,0.2795958669893257,2.513357629294701,1.084745494050659,0.8280353580351006,0.0002462313999615027,0.08745612834981577,-1,True,False,True,6.246203302896284,5.397379166631436,75.60262083336862,0.0002462313859054054,1.4056097269194573e-11,5.708490985062096e-08,True,2.8205198062581085e-11,1.8077906992975802e-08,1.0,1.0000000109888982,1.0988898157104997e-08,1.6275293499247603,1.6275293088852498,1.6273308987981765,0.00019841008707333074,0.00019845112658378739,-9.958617172621618e-07,-9.95933806887013e-07,False,7.208962485120984e-11,3.0111933017119925e-14,9.363755233955658e-09,1.291618241813413e-06,-1.137044788509611,1.291618241813413e-06,9.521258218348388e-07,5.730606372805388e-07,2.476055442914602e-07,1.2870836952042507e-07,6.73139018894225e-08,2.8119784302350237e-08,9.917405599082475e-13,1.2916182560068743e-06,9.521258318954874e-07,5.730606428342747e-07,2.4760554580777495e-07,1.2870836958095566e-07,6.73139015505958e-08,2.8119784180778338e-08,9.916990398000168e-13
4,node,rashba,56,0.7683612255222054,0.13502751192897208,2.075533994490758,1.2705793615462126,0.931173714185628,7.039442950305206e-10,0.07875687395614268,-1,True,False,True,8.621627215886129,7.867134486177851,47.13286551382215,7.039444462944955e-10,1.5126397483039342e-16,2.1488060333500555e-07,True,3.11889205898637e-16,1.9309704027031074e-14,1.0,0.9999999999999882,1.146623439361053e-14,2.5351276976134995,2.5351276976135004,2.5351613663065975,3.366869309706644e-05,3.3668693097954616e-05,-0.2101823027933054,0.21018262021369458,True,3.1742038916759974e-07,3.0680682678441994e-15,0.6805335333963599,0.0011591902907158106,,0.0011591902907158106,0.0018490692399465176,0.003167892334168619,0.007147794841298074,0.012833279839895496,0.020777901921168976,0.031273317860643995,0.044176600407496706,0.001159190290715797,0.001849069239946496,0.0031678923341685807,0.007147794841297987,0.01283327983989534,0.02077790192116872,0.03127331786064362,0.0441766004074962
4,anti,rashba,56,0.8170170055489778,0.13502751192897208,2.075533994490758,1.2705793615462126,0.931173714185628,0.006557071733555266,0.07805686440236692,-1,True,False,True,8.008969118240174,7.520695897443681,47.47930410255635,0.006557071744829234,1.127396787037327e-11,1.7193601547287765e-09,True,3.314408991797004e-11,8.771785881315235e-10,0.9999999999999996,0.9999999991407298,8.592702401162766e-10,2.480212282293004,2.4802135555261025,2.4799583780499517,0.0002551774761507808,0.000253904243052272,-1.6393496828749979e-06,-1.6394840346434234e-06,False,1.3435176842553272e-10,1.5678334840820606e-15,2.2114517754773042e-10,0.00021700897803744395,-6.9545981674183635,0.00021700897803744395,0.00010949421872790912,5.913340480750455e-05,2.4284188366181617e-05,1.2244944315730229e-05,6.1615428289422455e-06,2.4753008881582966e-06,2.6874673827447e-12,0.0002170089778509746,0.00010949421863437099,5.9133404757346825e-05,2.4284188346132507e-05,1.224494430596639e-05,6.1615428240964505e-06,2.475300886135638e-06,2.6874800674237876e-12
5,node,rashba,89,0.9082183453877934,0.13844414125186866,2.1107362713244004,0.7425376574537277,1.3080131757262368,1.5654160893694098e-06,0.048333886739880774,-1,True,False,True,19.84542543150419,21.60081517976026,66.39918482023964,1.5654160628985276e-06,2.6470882226835974e-14,1.6909805901828397e-08,True,1.4922707964583857e-13,4.450446663770567e-13,0.9999999999999998,0.999999999999956,1.0161489559030123e-14,2.9320940794209633,2.932094079420988,2.932369379065988,0.0002752996449997269,0.0002752996450245959,-0.5772664890345715,0.5772669282906143,True,4.392560428723158e-07,4.1000562045110684e-16,0.675287791473354,0.005544645558214186,,0.005544645558214186,0.008811552178067773,0.015270680934326143,0.03530471172479285,0.0660057939105817,0.11565992139549433,0.1986139849022376,0.33323659936230116,0.005544645558213942,0.008811552178067731,0.015270680934326255,0.03530471172479327,0.06600579391058252,0.11565992139549579,0.19861398490223994,0.33323659936230454
5,anti,rashba,89,0.9535680701782002,0.13844414125186866,2.1107362713244004,0.7425376574537277,1.3080131757262368,0.01769597211347886,0.04842713005977107,-1,True,False,True,15.995640268851801,17.955655732935146,70.04434426706486,0.017695972625876903,5.123980441334997e-10,2.8955631306810818e-08,True,2.490705456788934e-09,2.067745570058559e-08,1.0,0.9999999772097095,2.2790290551069333e-08,2.8972084062305417,2.8972106171208107,2.89716812352527,4.249359554053811e-05,4.0282705271454944e-05,-4.296130048245982e-05,-4.296150596730385e-05,False,2.0548484403148893e-10,3.8330511968305447e-16,2.539404839634663e-08,0.0008166442137677038,-24.181322083880257,0.0008166442137677038,0.0003819480248128748,0.00020291275854747207,8.264594264991107e-05,4.1439623247893664e-05,2.0740075729712494e-05,8.300486897262741e-06,1.8456733391441202e-09,0.0008166441951561449,0.0003819480161166369,0.00020291275392912377,8.264594077061589e-05,4.143962230730473e-05,2.0740075260280458e-05,8.300486710639146e-06,1.8456773885830871e-09
