gamma_phi,gamma_qp,infidelity_bias_only,infidelity_drive_optimized,delta_v,drive_amp,drive_phase
0.0,0.0,1.991966347425489e-08,7.771561172376096e-15,0.834548872820698,0.7989367332698123,3.53356694525279
0.028571428571428574,0.0,0.007092098536482183,0.0066379322409861885,0.4017716592523054,6.0,3.5341949561832786
0.05714285714285715,0.0,0.014083581991525707,0.013180117343138953,0.3986403318781734,6.0,3.534196856443297
0.08571428571428572,0.0,0.020975897142432642,0.01962789580718438,0.3954779833511754,6.0,3.5341952606622993
0.1142857142857143,0.0,0.02777045060806871,0.02598258852576696,0.39226809334996116,6.0,3.534195974900669
0.14285714285714288,0.0,0.034468629055595,0.0322454989919333,0.38903868053285884,6.0,3.5341504704639943
0.17142857142857143,0.0,0.04107179948346751,0.038417903604415216,0.38568970346393283,6.0,3.5341954957811152
0.2,0.0,0.047581309500420055,0.04450107138841786,0.38236719013228215,6.0,3.534201731334938
0.05,0.0,nan,0.01234503437576595,0.8408635557894233,0.026711609874069175,3.514933310277056
0.05,0.01,nan,0.012780288104140558,0.40069215534505376,6.0,0.3914694477441786
0.05,0.03,nan,0.014972233884649633,0.8392502455316375,0.0006766454927995547,2.5161190552247836
0.05,0.05,nan,0.016689877821766452,0.8381726188576639,0.0016233417619488932,3.1680684737508327
0.05,0.1,nan,0.020868964878615337,0.8355112387477444,0.0014804493267450702,0.7625241797149354
