L,W,support_fraction,mean_eps
40,0.0,0.0,0.014752496625557554
40,0.1,0.4,0.013887308163341796
40,0.2,0.2,0.02046203389033295
40,0.3,0.2,0.02657383716441867
40,0.4,0.4,0.02124697031017552
60,0.0,0.0,0.01586288370058659
60,0.1,0.0,0.01678342507780617
60,0.2,0.4,0.01687879737673102
60,0.3,0.6,0.012201648272104862
60,0.4,0.4,0.01318656328865589
80,0.0,1.0,0.001513845526415902
80,0.1,1.0,0.001069476018222407
80,0.2,1.0,0.005367080171820103
80,0.3,1.0,0.003622163807866712
80,0.4,0.8,0.008874354033915004
100,0.0,1.0,0.003539777124604483
100,0.1,1.0,0.0034043273464906777
100,0.2,1.0,0.0025299222259544426
100,0.3,1.0,0.004981894709584364
100,0.4,1.0,0.002098652206068758
120,0.0,1.0,0.001632265812880712
120,0.1,1.0,0.0015182395748918095
120,0.2,1.0,0.0019021133706178302
120,0.3,1.0,0.002452285442929142
120,0.4,1.0,0.002567818889744034
